"","Rk","Player","Age","Pos","GP","G","A","PTS","+/-","PIM","EV","PP","SH","GW","S","S%","TOI","ATOI","OPS","DPS","PS","BLK","HIT","FOW","FOL","FO%","TEAM"
"983","7","Lee Stempniak","33","RW","82","16","24","40","2","32","20","4","0","2","131","12.2","1299","15:51","2.5","1.8","4.3","16","113","3","5","37.5","CAR"
"984","8","Justin Faulk","24","D","75","17","20","37","-18","32","11","9","0","2","225","7.6","1736","23:08","3.8","2.8","6.6","84","117","0","0","","CAR"
"985","9","Jaccob Slavin","22","D","82","5","29","34","23","12","22","4","3","0","99","5.1","1922","23:26","1.9","6.7","8.6","161","35","0","0","","CAR"
"986","10","Derek Ryan","30","C","67","11","18","29","-8","22","14","4","0","3","73","15.1","998","14:53","1.6","1.0","2.6","37","33","391","316","55.3","CAR"
"987","11","Noah Hanifin","20","D","81","4","25","29","-19","26","16","9","0","1","108","3.7","1452","17:55","1.8","2.0","3.8","73","57","0","0","","CAR"
"988","12","Brett Pesce","22","D","82","2","18","20","23","20","16","2","0","0","109","1.8","1739","21:12","0.3","6.2","6.5","148","57","0","0","","CAR"
"989","13","Brock McGinn","22","LW","57","7","9","16","-11","6","8","0","1","1","74","9.5","684","12:00","0.6","0.4","1.1","22","91","1","3","25.0","CAR"
"990","14","Ron Hainsey","35","D","56","4","10","14","-16","17","9","0","1","1","62","6.5","1250","22:20","0.4","1.8","2.2","92","79","0","0","","CAR"
"991","15","Viktor Stalberg","31","LW","57","9","3","12","-6","33","3","0","0","2","71","12.7","667","11:42","0.4","0.6","1.1","16","120","0","3","0.0","CAR"
"992","16","Joakim Nordstrom","24","LW","82","7","5","12","-12","17","5","0","0","2","104","6.7","1043","12:43","-0.8","0.9","0.0","41","148","9","20","31.0","CAR"
"993","17","Jay McClement","33","C","65","5","3","8","-8","18","3","0","0","1","37","13.5","740","11:23","-0.6","0.6","0.0","40","49","253","272","48.2","CAR"
"994","18","Phillip Di Giuseppe","23","LW","36","1","6","7","-12","15","5","1","0","1","68","1.5","443","12:18","-0.4","0.1","-0.3","10","91","0","2","0.0","CAR"
"995","19","Klas Dahlbeck","25","D","43","2","4","6","-12","30","4","0","0","0","37","5.4","597","13:53","0.1","0.5","0.6","38","77","0","0","","CAR"
"996","20","Matt Tennyson","26","D","45","0","6","6","-13","6","6","0","0","0","36","0.0","598","13:17","-0.1","0.4","0.3","48","65","0","0","","CAR"
"997","21","Andrej Nestrasil","25","C","19","1","4","5","-3","2","4","0","0","0","27","3.7","207","10:54","0.1","0.1","0.2","6","10","3","7","30.0","CAR"
"998","22","Ryan Murphy","23","D","27","0","2","2","-11","8","2","0","0","0","17","0.0","356","13:10","-0.2","0.0","-0.3","31","2","0","0","","CAR"
"999","23","Ty Rattie","23","RW","5","0","2","2","-2","0","2","0","0","0","9","0.0","67","13:28","0.0","0.0","0.0","2","9","0","0","","CAR"
"1000","24","Lucas Wallmark","21","C","8","0","2","2","1","2","2","0","0","0","11","0.0","87","10:52","0.0","0.2","0.1","3","14","31","27","53.4","CAR"
